family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F2a_Cov,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.44674004892519564,-0.10101353406230046,-1.100205799897503,-0.02426674920387084
F2a_Cov,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.22682998673018032,-0.004530815815360967,-1.6396175139295752,-0.037053305105659684
F2a_Cov,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.40433897016089204,-0.10843891445996778,-1.2716796788283062,-0.02774866767619849
F2a_Cov,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.42115728078587716,-0.18148120110403482,-1.1570558554058703,-0.038744126508796925
F2a_Cov,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.48300752813253417,-0.13222250174566313,-0.9556135725045087,-0.026353825427201424
F2a_Cov,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.5120251234504851,-0.13000278945412813,-0.7390025303632428,-0.018907733455481426
F2a_Cov,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.5790573935426853,-0.0984075022405192,-0.7727672210410128,-0.01678544215585548
F2a_Cov,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.5457911402411307,-0.09500408042643227,-0.8115392343985031,-0.01770116036431965
F2a_Cov,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.48618567959377007,-0.06598910149055243,-1.0036477773921004,-0.011104322694081334
F2a_Cov,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.33644788610675863,-0.08584285688680848,-1.720046163141961,-0.03516094080032239
F2a_Cov,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.25947220993660625,-0.17841726711385236,-0.6927627085111099,-0.03135773880035639
F2a_Cov,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.4538971586559652,-0.04783761124733238,-1.134809997663145,-0.009562473052549175
F2b_CSP,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.6256440704153625,0.07789048742786642,0.360358092163392,0.016339092512578618
