dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,7,30P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.2163196802139282,2.4379663467407227,2.0043795937853206,0.26091269841269843,0.2916666666666667,2.1585583829864756,24,4
libemg_contraction_intensity,validation,7,40P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1593685150146484,2.812885046005249,2.4262216968407895,0.4936507936507937,0.5416666666666666,1.7607315665721404,24,4
libemg_contraction_intensity,validation,7,50P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1335008144378662,3.076275587081909,2.713959749853485,0.536026936026936,0.625,1.5037566842584973,24,4
libemg_contraction_intensity,validation,7,60P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.2064337730407715,3.172852039337158,2.629942985661872,0.5833333333333334,0.6666666666666666,1.3511127966239516,24,4
libemg_contraction_intensity,validation,7,70P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.3669729232788086,3.3493199348449707,2.450172843633439,0.5703703703703703,0.6666666666666666,1.3072728715071922,24,4
libemg_contraction_intensity,validation,7,80P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.3757116794586182,3.2057604789733887,2.330256060631775,0.5444444444444444,0.6666666666666666,1.356374598685063,24,4
libemg_contraction_intensity,validation,7,MVC,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,2.3754332065582275,2.607043981552124,1.0975025415341937,0.047619047619047616,0.16666666666666666,1.8185145949012682,12,2
libemg_contraction_intensity,validation,7,Light,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.8913013935089111,1.3685439825057983,0.7235990980233952,0.09230769230769231,0.08333333333333333,3.8480905079438767,24,4
libemg_contraction_intensity,validation,7,Medium,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.2355570793151855,2.2118897438049316,1.790196325734999,0.23809523809523805,0.25,2.4128486440287693,24,4
libemg_contraction_intensity,validation,7,Hard,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.423837423324585,2.8337948322296143,1.9902516857674861,0.46533613445378147,0.5416666666666666,1.654582140118089,24,4
libemg_contraction_intensity,validation,8,ALL,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.3195602893829346,3.5505822138352827,2.6907313308333696,0.6416194563399599,0.6071428571428571,0.9794905745290288,252,42
libemg_contraction_intensity,validation,8,20P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,2.071632146835327,2.1614573001861572,1.0433596057986034,0.15873015873015872,0.16666666666666666,2.3221261088509744,24,4
libemg_contraction_intensity,validation,8,30P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.379034399986267,3.0615005493164062,2.220032037725013,0.5370851370851372,0.5,1.1970830877621945,24,4
libemg_contraction_intensity,validation,8,40P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1440714597702026,3.3673651218414307,2.943317126557344,0.7063492063492062,0.6666666666666666,1.009261605901439,24,4
libemg_contraction_intensity,validation,8,50P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1129711866378784,3.812774896621704,3.425762447451095,0.6164502164502165,0.625,0.8230834580853141,24,4
libemg_contraction_intensity,validation,8,60P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.0848616361618042,3.751673936843872,3.4582050018574897,0.6825396825396824,0.7083333333333334,0.7346219488209217,24,4
libemg_contraction_intensity,validation,8,70P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.1673511266708374,3.8606085777282715,3.3071528259090353,0.602020202020202,0.6666666666666666,0.7232666923574064,24,4
libemg_contraction_intensity,validation,8,80P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.369560718536377,4.079188823699951,2.9784651152680945,0.688888888888889,0.75,0.7209829693215145,24,4
