run_id,dataset,phase,subject,condition,calibration_budget,evaluation_unit,evaluation_trials,core_definition_mode,scope,family_a,family_b,comparison_type,error_correlation,both_wrong,core_wrong_increment_correct,core_correct_increment_wrong,disagreement_fraction,disagreement_rate,a_correct_b_wrong,a_wrong_b_correct,both_correct,protocol,evaluation_bouts,shots_per_class,method,calibration_force,target_force_calibration,calibration_trials,session/domain,classes_present,aggregation,evaluation_windows,weighting,evaluation,disagreement
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,20,trial_1,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.6546536707079771,3,2,0,0.4,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,20,trial_2,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.5833333333333333,3,1,1,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,20,trial_3,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.5238095238095237,2,1,1,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,20,trial_4,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.654653670707977,3,2,0,0.2,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,15,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.9486832980505141,15,1,0,0.025,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,15,trial_1,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.8017837257372734,3,1,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,15,trial_2,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.0,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,15,trial_3,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.0,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,15,trial_4,0,whole_native_trial_mean,10,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.0,,,,,,,,,,,,,,,,,,
feature_bank_wearing_core_raw_ring_validation_20260916,libemg_electrode_shift,validation,16,ALL,0,whole_native_trial_mean,40,,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.622609746482358,12,7,1,0.275,,,,,,,,,,,,,,,,,,
