run_id,phase,dataset,subject,condition,shots_per_class,feature_bank,mode,evaluation_trials,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json,method,calibration_trials,supported,reason,aggregation,protocol,calibration_force,target_force_calibration,model,feature_dimension,session/domain,classes_present,removed_family,n0,reliability_temperature,weights_json
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,21,cross_user,5,F0+F3_Ring,population_plus_F7_anchor,120,0.41356511740498664,0.45,1.5323737711914787,0.12099344839247825,0.13516087682348765,"{""noGesture"":0.4691358024691358,""fist"":0.0,""waveIn"":0.5,""waveOut"":0.6666666666666666,""open"":0.47058823529411764,""pinch"":0.375}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,ALL,cross_user,0,F0+F3_Ring,population_zero_shot,450,0.43860753737612007,0.44,1.5567753529038764,0.11930558447281779,0.12348117636015368,"{""noGesture"":0.41346153846153844,""fist"":0.39215686274509803,""waveIn"":0.46835443037974683,""waveOut"":0.4810126582278481,""open"":0.45112781954887216,""pinch"":0.425531914893617}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,ALL,cross_user,1,F0+F3_Ring,population_plus_F7_anchor,432,0.4406756755105033,0.4444444444444444,1.530031490249868,0.11677707132058444,0.0739942076117955,"{""noGesture"":0.42786069651741293,""fist"":0.3469387755102041,""waveIn"":0.4931506849315068,""waveOut"":0.4675324675324675,""open"":0.48,""pinch"":0.42857142857142855}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,ALL,cross_user,2,F0+F3_Ring,population_plus_F7_anchor,414,0.4222050511245868,0.42995169082125606,1.513384522084397,0.11800833367923007,0.06527538412743814,"{""noGesture"":0.42857142857142855,""fist"":0.30303030303030304,""waveIn"":0.4507042253521127,""waveOut"":0.5033112582781457,""open"":0.4715447154471545,""pinch"":0.37606837606837606}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,ALL,cross_user,5,F0+F3_Ring,population_plus_F7_anchor,360,0.4465550137226579,0.45,1.5557594319790096,0.12234656714761062,0.13001372792171792,"{""noGesture"":0.4636363636363636,""fist"":0.4,""waveIn"":0.5046728971962616,""waveOut"":0.42990654205607476,""open"":0.48936170212765956,""pinch"":0.3917525773195876}",,,,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.4666666666666666,0.6,1.0529990494931325,0.10977736570230771,0.21107139324239896,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",source_model,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.4666666666666666,0.6,1.0529990494931325,0.10977736570230771,0.21107139324239896,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",session_model,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.4666666666666666,0.6,1.0529990494931325,0.10977736570230771,0.21107139324239896,"{""close"":0.6666666666666666,""open"":0.0,""rest"":1.0,""flexion"":0.6666666666666666,""extension"":0.0}",session_context,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.6266666666666666,0.7,0.9964692217212378,0.10481251667349323,0.44199872949512536,"{""close"":0.6666666666666666,""open"":0.6666666666666666,""rest"":1.0,""flexion"":0.8,""extension"":0.0}",source_long_anchor,0,True,,,,,,,,,,,,,
feature_bank_wearing_session_normalization_validation_20260916,validation,libemg_electrode_shift,15,trial_1,0,F0|F3_Ring_reference,,10,0.6266666666666666,0.7,0.9964692217212378,0.10481251667349323,0.44199872949512536,"{""close"":0.6666666666666666,""open"":0.6666666666666666,""rest"":1.0,""flexion"":0.8,""extension"":0.0}",session_long_anchor,0,True,,,,,,,,,,,,,
