run_id,phase,subject,shots_per_class,calibration_trials,evaluation_trials,base,spatial_family,anchor,S_negative_logloss,S_macro_f1,S_negative_brier,dataset,condition,calibration_budget,evaluation,family_a,family_b
feature_bank_epn_core_incremental_20260915,source_nested_oof,7,,,,,,,0.022866904997929538,0.012852584208226714,0.0021357164150415803,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,7,,,,,,,7.662709166722514e-05,-0.029807415696436634,0.00029536821263209667,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,8,,,,,,,0.03098236094006368,0.008220515615400714,0.002805591997362883,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,8,,,,,,,0.02598223495671448,0.013122689919676855,0.0020469693192367855,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,9,,,,,,,0.05421702571353837,0.012371098208031228,0.0015496277322015473,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,9,,,,,,,0.0678334371957543,0.025413355283877115,0.002006635576681959,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,10,,,,,,,0.035750585122611644,0.008476695367566678,0.0020735224779133005,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,10,,,,,,,0.03993812940315267,0.055887209798443804,0.002864494921306665,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,11,,,,,,,-0.0025404829446640242,-0.02102822872430088,0.0008473785138587153,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,11,,,,,,,-0.020790248251397747,0.01276925232764553,0.00020317982966092107,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,12,,,,,,,0.06687041013011208,-0.0010827211114132762,0.004938303723333176,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,12,,,,,,,0.0778906180730905,-0.014746882536061379,0.005216177634032662,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,13,,,,,,,0.004653170888288871,-0.020944986226470508,0.0016867398671650824,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,13,,,,,,,-0.0155449021466878,-0.0167972762300298,0.00047755139365279753,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,14,,,,,,,0.05504401669395098,0.004627408823317802,0.0036724176261047903,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,14,,,,,,,0.059984323787018345,0.010479137607270372,0.0039002567834135887,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,15,,,,,,,0.07709370227432366,0.0024553110480582396,0.005199720760815582,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,15,,,,,,,0.08651222620561572,-0.0021430502613426494,0.004072717187290006,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
