run_id,source_artifact,source_row_1based,source_record_sha256,dataset,subject,session/domain,core_bank,added_family,condition,delta_logloss,delta_macro_f1,delta_brier,metadata_notes_json
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,23,10b837ba746afee2c3c96dab8c15b4461ecf21b407ce86f79096922d34b8ab9d,libemg_contraction_intensity,N/A,MVC,F0,F2a_Cov,MVC,-0.6927627085111099,-0.17841726711385236,-0.03135773880035639,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,24,9121298bd7af41f34d55411da8f314694a031bee0521a78a5641f2ad0be61ef4,libemg_contraction_intensity,N/A,Medium,F0,F2a_Cov,Medium,-1.134809997663145,-0.04783761124733238,-0.009562473052549175,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,25,2997cb82088f7a603ed2f6997102979b8e85162a43b155df82dc199a9d3d1f28,libemg_contraction_intensity,N/A,N/A,F0,F2b_CSP,ALL,0.360358092163392,0.07789048742786642,0.016339092512578618,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""not recoverable from inspected source fields/manifest"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,26,3df040a29ecd134306038e07aca5c035769fb3a41e1b0d36cb3cfca9cf847dc3,libemg_contraction_intensity,N/A,20P,F0,F2b_CSP,20P,0.11937648755199248,0.05589237042125214,0.0092743082599748,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,27,82c760c69b00423ddd11f3581c97ef4f4c0b804f6ce4230db53010bcf59bb512,libemg_contraction_intensity,N/A,30P,F0,F2b_CSP,30P,0.12918599760597171,0.09008536080994434,0.012349970493086448,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,28,a021f30789219e6d8879efb292c5e4884b4d8bc3bc1e19a009171c77db63ca22,libemg_contraction_intensity,N/A,40P,F0,F2b_CSP,40P,0.2881257554175236,0.0673479368682991,0.014864816008317919,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,29,eb3e315678416c9abcc0694cde29bca190bf29644fafe1069ccca3daf681b730,libemg_contraction_intensity,N/A,50P,F0,F2b_CSP,50P,0.3054172810037119,0.07432696692894414,0.013857944023575236,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,30,fec80fe4fa7c3e4b337820b0c2363ecf4f92f6c2677024a6ab542c54e557e7aa,libemg_contraction_intensity,N/A,60P,F0,F2b_CSP,60P,0.4071482353951279,0.04927705761384038,0.017573953077420476,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,31,673e8c5d7b8d05e41e919e77802a9637e210ec53d699d716099978bfb0dafceb,libemg_contraction_intensity,N/A,70P,F0,F2b_CSP,70P,0.40669967567674337,0.06726860918156552,0.01869912777169326,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,32,23c816fc73e8e935973a9526699d7296c864305b12119f413b7f5c6019bb542f,libemg_contraction_intensity,N/A,80P,F0,F2b_CSP,80P,0.4763104122633006,0.08618206837275966,0.021469794669267794,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,33,72288312a2e056bbc1e1f45d96d874cb6b7dc60ab93bf7b8ef7c59796695eec6,libemg_contraction_intensity,N/A,Hard,F0,F2b_CSP,Hard,0.438340345806042,0.028628254306439116,0.017784376641033967,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,34,1db427b4aa2d7d797e9e541af7b5470c91242cf4dc0b03271dc53c2653976e87,libemg_contraction_intensity,N/A,Light,F0,F2b_CSP,Light,0.11572786163583193,0.10501204078946585,0.009871386127853252,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,35,ffba17159ee9508f1c32e1899686f0e65fb2226ab1399dd6662aef659363a7d0,libemg_contraction_intensity,N/A,MVC,F0,F2b_CSP,MVC,1.629850237177406,0.08250226563855939,0.03301090554789403,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,36,ced669263c38ec61ed3b4801e62078c82bde895ac4d0d5654b65eee2e5265639,libemg_contraction_intensity,N/A,Medium,F0,F2b_CSP,Medium,0.28250279677066703,0.1049750346259819,0.019309341535905314,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,37,107729af4beb465837e78e82ee0a599d148947703fa36bebf4dd1aa0f21f549e,libemg_contraction_intensity,N/A,N/A,F0,F2c_SPD,ALL,-0.2222660198737949,-0.033757730185450585,-0.010463235996121825,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""not recoverable from inspected source fields/manifest"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,38,2394327d0cac763f15a23a4355a23a7b34e365f79667f4be3cfc0e21ecb5be09,libemg_contraction_intensity,N/A,20P,F0,F2c_SPD,20P,-0.6576128579870986,0.08069792381734489,-0.010220138222803266,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,39,164923ac09d65a640735cc943975c012ee7a68f1c561946c3334230df533d002,libemg_contraction_intensity,N/A,30P,F0,F2c_SPD,30P,-0.6741494303866187,-0.028946544620155112,-0.011480873764620592,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,40,25bb44875c87e54d5d5c4d069440dbde9ded3c097c3339ad5cb46f45a97b76ef,libemg_contraction_intensity,N/A,40P,F0,F2c_SPD,40P,-0.5953142814279331,-0.10999175518888221,-0.021779607469528214,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,41,552ffe94248f9763102983dc565c8fb6d1c28af96bf7d34829c9abaed540a9df,libemg_contraction_intensity,N/A,50P,F0,F2c_SPD,50P,-0.5226158956671316,-0.10394453756594546,-0.025143734012549226,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,42,1b47d41a94e4fad056ce2e67fd3cb90bd40b064ce6a1e4021463e60f8cdea39b,libemg_contraction_intensity,N/A,60P,F0,F2c_SPD,60P,-0.3657964446722357,-0.08290153302433378,-0.01957419856990658,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,43,878659317ccea5fa7a58e10a238afa35f67d4364cc23936d09cebd838715ecff,libemg_contraction_intensity,N/A,70P,F0,F2c_SPD,70P,-0.09182712743590105,-0.0920015832412322,-0.011567141601568298,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,44,b7f5eccda7744506b980ba007893f4fad51b559d88ad45d23a547c453bae7812,libemg_contraction_intensity,N/A,80P,F0,F2c_SPD,80P,-0.15734700045326355,-0.031277003218371235,-0.005037760205425554,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,45,49c2432a5303a1cf322e16a2f13ff01ca9a7ba0582a6cc746cf5a9bc3a3b16bf,libemg_contraction_intensity,N/A,Hard,F0,F2c_SPD,Hard,0.3005207082523793,0.04052442071901974,0.008648836352666292,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,46,03b0e086cdfb4c20f073d6267121749125f6d7c04484dcb83250ea7bc8674d70,libemg_contraction_intensity,N/A,Light,F0,F2c_SPD,Light,-0.4220548917062594,-0.0754656851635781,-0.022745760042153118,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,47,d1bd4318d87f127c5c854c47de72e8ddd3a5c58d08777eb6c0bbf3b6f6287749,libemg_contraction_intensity,N/A,MVC,F0,F2c_SPD,MVC,1.342145119228448,0.021537244946732925,0.006017554200820854,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,48,95f80a69c4a2d774a480500cfa6f2d0f6e5dccb684953ec71e3cd8589bda727c,libemg_contraction_intensity,N/A,Medium,F0,F2c_SPD,Medium,0.1813314531949919,0.024501503386634593,0.006027622476198785,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,49,b0d0b0460c736c9eab8245401ac3df862efc419a9653c901c27cd8ef1dfa4a24,libemg_contraction_intensity,N/A,N/A,F0,F3_Ring,ALL,-0.2163053893180895,-0.0029917419412620605,-0.0028173724603568345,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""not recoverable from inspected source fields/manifest"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,50,22bd132d5f76ea7bd46d0551feda5e14d311e3a54f1f9f1567b8440a7fa35da5,libemg_contraction_intensity,N/A,20P,F0,F3_Ring,20P,-0.43021597464718964,-0.018168733866606307,-0.009449803564723386,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,51,26599fdf1e33fa28d4b49aa9c55bac77c15159c0d5a68c16b0afbc21c586f462,libemg_contraction_intensity,N/A,30P,F0,F3_Ring,30P,-0.20558311099932225,-0.0400760951066938,-0.0060386403355321,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,52,3d8e4153dd6b64f9a96dd3ebe16cf52ab2d073d218b2cd8fdeb641dd2bc81bd3,libemg_contraction_intensity,N/A,40P,F0,F3_Ring,40P,-0.1411433967133564,0.02701478179286021,-0.0005356403068441512,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,53,1c9d06395d8f24011e96ffd6b51b163611eae3c0fc9e40f3a23eb195d0804b72,libemg_contraction_intensity,N/A,50P,F0,F3_Ring,50P,-0.13531393951782444,0.02654148627045927,0.0035965997212711737,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
